listing_id,url,title,make,model,year,price_pkr,mileage_km,fuel_type,transmission,engine_cc,city,assembly,registered_in,seller_type,car_age,mileage_per_year,price_per_cc,is_imported,listing_province,registered_province,registered_matches_listing
11866375.0,https://www.pakwheels.com/used-cars/nissan-moco-2009-for-sale-in-lahore-11866375,Nissan Moco 2009 for sale in Lahore,Nissan,Moco,2009,1825000.0,140000.0,Petrol,Automatic,660.0,Lahore,Imported,Lahore,Dealer,17,8235.29411764706,2765.151515151515,1.0,Punjab,Punjab,True
11016751.0,https://www.pakwheels.com/used-cars/toyota-prado-2008-for-sale-in-islamabad-11016751,Toyota Prado 2008 for sale in Islamabad,Toyota,Prado,2008,11600000.0,130000.0,Petrol,Automatic,4000.0,Islamabad,Imported,Islamabad,Dealer,18,7222.222222222223,2900.0,1.0,Islamabad,Islamabad,True
11866374.0,https://www.pakwheels.com/used-cars/toyota-fortuner-2018-for-sale-in-karachi-11866374,Toyota Fortuner 2018 for sale in Karachi,Toyota,Fortuner,2018,10300000.0,65000.0,Petrol,Automatic,2700.0,Karachi,Local,Karachi,Dealer,8,8125.0,3814.814814814815,0.0,Sindh,Sindh,True
11797620.0,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-karachi-11797620,Toyota Corolla 2014 for sale in Karachi,Toyota,Corolla,2014,3475000.0,73000.0,Petrol,Automatic,1300.0,Karachi,Local,Karachi,Dealer,12,6083.333333333333,2673.076923076923,0.0,Sindh,Sindh,True
11866373.0,https://www.pakwheels.com/used-cars/changan-alsvin-2024-for-sale-in-islamabad-11866373,Changan Alsvin 2024 for sale in Islamabad,Changan,Alsvin,2024,3950000.0,70000.0,Petrol,Automatic,1500.0,Islamabad,Local,Islamabad,Dealer,2,35000.0,2633.3333333333335,0.0,Islamabad,Islamabad,True
11620041.0,https://www.pakwheels.com/used-cars/bmw-x1-2017-for-sale-in-gujranwala-11620041,BMW X1 2017 for sale in Gujranwala,BMW,X1,2017,6600000.0,86493.0,Petrol,Automatic,1500.0,Gujranwala,Local,Lahore,Dealer,9,9610.333333333334,4400.0,0.0,Punjab,Punjab,True
11866371.0,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-11866371,MG HS 2021 for sale in Lahore,MG,HS,2021,5850000.0,54500.0,Petrol,Automatic,1500.0,Lahore,Local,Punjab,Dealer,5,10900.0,3900.0,0.0,Punjab,Punjab,True
11680237.0,https://www.pakwheels.com/used-cars/daihatsu-tanto-2023-for-sale-in-lahore-11680237,Daihatsu Tanto 2023 for sale in Lahore,Daihatsu,Tanto,2023,3385000.0,16000.0,Petrol,Automatic,660.0,Lahore,Imported,Un-Registered,Dealer,3,5333.333333333333,5128.787878787879,1.0,Punjab,Other,
11867936.0,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-lahore-11867936,Suzuki Alto 2021 for sale in Lahore,Suzuki,Alto,2021,2260000.0,97500.0,Petrol,Manual,660.0,Lahore,Local,Punjab,Dealer,5,19500.0,3424.242424242424,0.0,Punjab,Punjab,True
11867931.0,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-arifwala-11867931,Suzuki Alto 2021 for sale in Arifwala,Suzuki,Alto,2021,2310000.0,150000.0,Petrol,Manual,660.0,Arifwala,Local,Punjab,Dealer,5,30000.0,3500.0,0.0,Other,Punjab,False
